C1:1
C10:1
C100:1
C101:1
C11:1
C110:1
C111:1
C12:1
C120:1
C121:1
C13:1
C130:1
C2:1
C20:1
C21:1
C22:1
C23:1
C3:1
C30:1
C31:1
C32:1
C33:1
C4:1
C40:1
C41:1
C42:1
C43:1
C5:1
C50:1
C6:1
C60:1
C61:1
C62:1
C63:1
C7:1
C70:1
C71:1
C8:1
C80:1
C81:1
C82:1
C83:1
C84:1
C85:1
C90:1
C91:1
C92:1
C93:1
C94:1
C95:1
C96:1
C97:1
C98:1
CN1:1
D1:1
D2:1
F1:1
FID1:1
FID2:1
FID3:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J8:1
KIBUZZARD-696E6D75:1
R104:1
R105:1
R106:1
R107:1
R108:1
R109:1
R110:1
R111:1
R112:1
R130:1
R131:1
R132:1
R133:1
R134:1
R2:1
R3:1
R4:1
R5:1
R6:1
R60:1
R61:1
R62:1
R63:1
R64:1
R65:1
R66:1
R67:1
R68:1
R69:1
R7:1
R70:1
R8:1
R81:1
R82:1
R83:1
R84:1
R90:1
R91:1
R92:1
R93:1
R96:1
R97:1
R98:1
R99:1
U1:1
U10:1
U11:1
U12:1
U13:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
Y1:1
Y2:1
